"qa_id","note_id","qa_score","error_count","compliance_flag","inserted_at"
"QA000001","N022358","99.44",1,"Yes","2026-01-08 03:11:25.735226"
"QA000002","N043157","99.16",0,"Yes","2026-01-08 03:11:25.735226"
"QA000003","N027949","78.62",3,"Yes","2026-01-08 03:11:25.735226"
"QA000004","N030480","84.59",0,"Yes","2026-01-08 03:11:25.735226"
"QA000005","N019854","94.73",0,"Yes","2026-01-08 03:11:25.735226"
"QA000006","N019385","78.39",0,"Yes","2026-01-08 03:11:25.735226"
"QA000007","N018964","80.36",2,"Yes","2026-01-08 03:11:25.735226"
"QA000008","N016208","99.46",4,"No","2026-01-08 03:11:25.735226"
"QA000009","N047471","100.00",0,"Yes","2026-01-08 03:11:25.735226"
"QA000010","N018056","81.41",3,"Yes","2026-01-08 03:11:25.735226"
"QA000011","N009611","72.59",3,"Yes","2026-01-08 03:11:25.735226"
"QA000012","N035756","91.29",3,"Yes","2026-01-08 03:11:25.735226"
"QA000013","N021746","87.50",1,"Yes","2026-01-08 03:11:25.735226"
"QA000014","N037294","84.42",2,"Yes","2026-01-08 03:11:25.735226"
"QA000015","N033228","91.24",1,"Yes","2026-01-08 03:11:25.735226"
"QA000016","N040549","74.55",3,"Yes","2026-01-08 03:11:25.735226"
"QA000017","N028890","96.64",3,"Yes","2026-01-08 03:11:25.735226"
"QA000018","N014147","62.83",1,"Yes","2026-01-08 03:11:25.735226"
"QA000019","N015044","65.42",4,"Yes","2026-01-08 03:11:25.735226"
"QA000020","N013146","78.62",2,"No","2026-01-08 03:11:25.735226"
"QA000021","N049411","94.00",3,"Yes","2026-01-08 03:11:25.735226"
"QA000022","N042014","82.71",2,"Yes","2026-01-08 03:11:25.735226"
"QA000023","N047024","81.50",2,"Yes","2026-01-08 03:11:25.735226"
"QA000024","N025379","76.74",2,"Yes","2026-01-08 03:11:25.735226"
"QA000025","N042046","68.20",1,"Yes","2026-01-08 03:11:25.735226"
"QA000026","N041864","83.07",0,"Yes","2026-01-08 03:11:25.735226"
"QA000027","N019666","69.88",3,"No","2026-01-08 03:11:25.735226"
"QA000028","N043338","68.38",1,"Yes","2026-01-08 03:11:25.735226"
"QA000029","N011596","49.45",1,"Yes","2026-01-08 03:11:25.735226"
"QA000030","N012167","89.24",0,"Yes","2026-01-08 03:11:25.735226"
"QA000031","N032974","90.51",0,"Yes","2026-01-08 03:11:25.735226"
"QA000032","N012227","76.15",5,"Yes","2026-01-08 03:11:25.735226"
"QA000033","N046383","69.70",2,"Yes","2026-01-08 03:11:25.735226"
"QA000034","N014857","86.46",5,"Yes","2026-01-08 03:11:25.735226"
"QA000035","N000341","92.34",3,"Yes","2026-01-08 03:11:25.735226"
"QA000036","N008281","90.84",2,"No","2026-01-08 03:11:25.735226"
"QA000037","N010818","81.82",1,"Yes","2026-01-08 03:11:25.735226"
"QA000038","N019578","99.47",1,"Yes","2026-01-08 03:11:25.735226"
"QA000039","N038488","100.00",1,"Yes","2026-01-08 03:11:25.735226"
"QA000040","N025504","85.35",2,"Yes","2026-01-08 03:11:25.735226"
